,context,answer,label
10,"['**вы:**_X', 'привет_PROPN ', 'пообщаться_VERB', '**собеседник:**_X', 'привет_PROPN ', 'давать_VERB', '**вы:_NOUN', 'что_PRON', 'заниматься_VERB', 'я_PRON', 'танцор_NOUN', 'професиональный_ADJ']","['крутой_ADJ', 'я_PRON', 'тоже_PART', 'любить_VERB', 'танцевать_VERB', 'но_CCONJ', 'только_PART', 'для_ADP', 'душа_NOUN']",ai
11,"['а_CCONJ', 'у_ADP', 'ты_PRON', 'а_CCONJ', 'у_ADP', 'я_PRON', 'быть_VERB', 'кошка_NOUN', 'кормить_VERB', 'она_PRON', 'рыбка_NOUN']","['конечно_ADV', 'рыбка_NOUN', 'это_PRON', 'она_PRON', 'любимый_ADJ', 'еда_NOUN', 'а_CCONJ', 'как_SCONJ', 'у_ADP', 'ты_PRON', 'дело_NOUN', 'с_ADP', 'домашний_ADJ', 'питомец_NOUN']",ai
12,"['какой_DET', 'твой_DET', 'девиз_NOUN', 'по_ADP', 'жизнь_NOUN', 'у_ADP', 'я_PRON', 'всегда_ADV', 'веселиться_VERB', 'мечтать_PROPN ', 'и_CCONJ', 'мечта_NOUN', 'исполняться_VERB', 'классный_ADJ', 'девиз_NOUN', 'спасибо_PROPN ', 'у_ADP', 'ты_PRON', 'тоже_PART']","['любить_VERB', 'позитивный_ADJ', 'человек_NOUN', 'что_PRON', 'заниматься_VERB', 'в_ADP', 'свободный_ADJ', 'время_NOUN']",people
13,"['ну_PART', 'ладно_PART', 'у_ADP', 'ты_PRON', 'ещё_ADV', 'весь_DET', 'впереди_NOUN', '**собеседник:_NOUN', 'только_PART', 'не_PART', 'в_ADP', 'мак_NOUN', 'не_PART', 'любить_VERB', 'фавать_NOUN', 'фуд_NOUN', 'и_CCONJ', 'все_PRON', 'что_PRON', 'снить_VERB', 'связаноотреть_NOUN', 'и_CCONJ', 'правильный_ADV']","['хороший_ADJ', 'самый_ADJ', 'что_PRON', 'нибудь_ADV', 'приготовить_VERB', 'даже_PART', 'вкусно_ADV', 'быть_VERB']",people
14,"['я_PRON', 'с_ADP', 'украина_PROPN ', 'я_PRON', 'студент,мний_NOUN', 'xx_NUM', 'год_NOUN', '**ва_NOUN', 'что_SCONJ', 'заниматься_VERB', 'а_CCONJ', 'я_PRON', 'xx_NUM', 'работать_VERB', 'в_ADP', 'больнице_NOUN', 'у_ADP', 'ты_PRON', 'быть_VERB', 'увлечение_NOUN']","['крутой_ADJ', 'я_PRON', 'учиться_VERB', 'в_ADP', 'консерв_NOUN', 'с_ADP', 'музыкант_NOUN', 'зависай_VERB', 'открывать_VERB', 'для_ADP', 'себя_PRON', 'новый_ADJ', 'горизонт_NOUN', 'в_ADP', 'музыка_NOUN', 'в_ADP', 'больница_NOUN', 'по_ADP', 'профессия_NOUN', 'или_CCONJ', 'по_ADP', 'призвание_NOUN', 'работать_VERB']",people
15,"['ты_PRON', 'знать_VERB', 'заграницей_NOUN', 'очень_ADV', 'развивать_VERB', 'алкоголизм_ADV', 'особенно_ADV', 'турестический_ADJ', 'а_CCONJ', 'я_PRON', 'не_PART', 'любить_VERB', 'алкоголь_NOUN', 'из-за_ADP', 'это_PRON', 'вы_PRON', 'не_PART', 'путешествовать_VERB', 'рано_ADV', 'не_VERB', 'просто_PART', 'бразилия_PROPN ', 'религиозный_ADJ', 'страна_NOUN', 'и_CCONJ', 'я_PRON', 'отдаюпредпочтение_NOUN', 'только_PART', 'этот_DET', 'страна_NOUN']","['понятный_ADJ', 'что_SCONJ', 'религиозный_ADJ', 'страна_NOUN', 'вы_PRON', 'близкий_ADJ', 'а_CCONJ', 'какой_DET', 'еще_ADV', 'страна_NOUN', 'вы_PRON', 'нравиться_VERB']",ai
16,"['а_CCONJ', 'почему_ADV', 'бы_PART', 'и_PART', 'нет_VERB', 'я_PRON', 'вот_PART', 'спорт_NOUN', 'любить_VERB', 'не_PART', 'только_PART', 'заниматься_VERB', 'но_CCONJ', 'и_PART', 'смотреть_VERB', 'так_ADV', 'я_PRON', 'становиться_VERB', 'фанат_NOUN', 'бокс_NOUN', 'рассказывать_VERB', 'еще_ADV', 'что_SCONJ', 'нибудь_ADV', 'о_ADP', 'себе_VERB', '**собеседник:_NOUN', 'о_PROPN ', 'мой_DET', 'муж_NOUN', 'тоже_PART', 'любить_VERB', 'бокс_NOUN', 'у_ADP', 'я_PRON', 'быть_VERB', 'небольшой_ADJ', 'секрет_NOUN', 'я_PRON', 'обожать_VERB', 'мандарин_NOUN', '**ва_NOUN', 'прикольнотец_NOUN', 'фрукт_NOUN', 'надо_ADV', 'сейчас_ADV', 'кушать_VERB']","['ага_PART', 'я_PRON', 'тоже_PART', 'так_ADV', 'думать_VERB', 'мочь_VERB', 'у_ADP', 'ты_PRON', 'быть_VERB', 'какой-то_ADJ', 'фаворит_NOUN']",ai
17,"['ну_PART', 'что_PRON', 'вы_PRON', 'семья_PROPN ', 'это_PRON', 'святой_ADJ', 'я_PRON', 'очень_ADV', 'рад_ADJ', 'за_ADP', 'вы_PRON', 'да_PART', 'любить_VERB', 'танцевать_VERB', 'с_ADP', 'детство_NOUN', '**собеседник:_NOUN', 'это_PRON', 'да_PART', 'я_PRON', 'очень_ADV', 'любить_VERB', 'и_CCONJ', 'муж_NOUN', 'и_CCONJ', 'ребенок_NOUN', 'но_CCONJ', 'как_ADV', 'же_PART', 'былобы_NOUN', 'классный_ADJ', 'быть_AUX', 'полноценный_ADJ', 'доктор_NOUN', 'а_CCONJ', 'какой_DET', 'у_ADP', 'вы_PRON', 'еще_ADV', 'увлечение_NOUN', 'вообще_ADV', 'любить_VERB', 'япония_PROPN ']","['о_INTJ', 'как_ADV', 'интересный_ADJ', 'я_PRON', 'бы_PART', 'тоже_PART', 'хотеть_VERB', 'посещать_VERB', 'япония_PROPN ', 'а_CCONJ', 'вы_PRON', 'уже_ADV', 'быть_AUX', 'там_ADV', 'рассказывать_VERB', 'что-нибудь_NOUN', 'о_ADP', 'этот_DET', 'страна_NOUN']",people
18,"['это_PRON', 'почему_ADV', 'везде_ADV', 'быть_VERB', 'что_PRON', 'заниматься_VERB', 'я_PRON', 'как_SCONJ', 'преподаватель_NOUN', 'мочь_VERB', 'сказать_VERB', 'что_SCONJ', 'лучший_ADJ', 'занятие_NOUN', 'это_PRON', 'саморазвитий_NOUN', 'а_CCONJ', 'ты_PRON', 'любить_PART', 'домашний_ADJ', 'животное_NOUN', 'ну_PART', 'у_ADP', 'я_PRON', 'школа_NOUN', 'и_CCONJ', 'многодополнительный_ADJ', 'занятие_NOUN', 'хотеть_VERB', 'становиться_VERB', 'врачий_ADV', 'лечитьживотный_NOUN', '**вы:_NOUN', 'да_PART', 'я_PRON', 'кошка_NOUN', 'любить_VERB', 'а_CCONJ', 'ветеринар_NOUN', 'это_PRON', 'хороший_ADJ', 'и_CCONJ', 'кстатидовольный_ADV', 'высокооплачиваемый_ADJ', 'профессия_NOUN']","['а_CCONJ', 'вы_PRON', 'кто_PRON', 'работать_VERB']",people
19,"['**вы:**_NOUN', 'алеся_NOUN', 'а_CCONJ', 'ты_PRON', '**собеседник:_NOUN', 'я_PRON', 'максим_PROPN ', 'что_PRON', 'ты_PRON', 'заниматься_VERB', 'очень_ADV', 'приятный_ADJ', 'сидеть_VERB', 'в_ADP', 'автосервис_NOUN', 'ждать_VERB', 'когда_SCONJ', 'починять_VERB', 'машина_NOUN', 'а_CCONJ', 'ты_PRON']","['работать_VERB', 'а_CCONJ', 'что_PRON', 'случаться_VERB']",people
20,"['какой_DET', 'у_ADP', 'ты_PRON', 'зарплата_NOUN', 'точно_ADV', 'сказать_VERB', 'не_PART', 'мочь_VERB', 'всегда_ADV', 'по_ADP', 'разный_ADJ', 'а_CCONJ', 'хоббиедать_NOUN', 'в_ADP', 'ты_PRON', 'да_PART', 'заниматься_VERB', 'футбол_NOUN', 'играть_VERB', 'в_ADP', 'футбольный_ADJ', 'клубеторпедо_NOUN', 'из_ADP', 'город_NOUN', 'минск_PROPN ', 'а_CCONJ', 'у_ADP', 'ты_PRON']","['а_CCONJ', 'заниматься_VERB', 'парашютный_ADJ', 'спортомтраница_NOUN', 'учавствая_VERB', 'в_ADP', 'групповой_ADJ', 'прыжок_NOUN']",people
21,"['поздравлять_VERB', 'это_PRON', 'здоровый_ADJ', 'мой_DET', 'сын_NOUN', 'уже_ADV', 'взрослый_ADJ', 'вотсобирать_VERB', 'он_PRON', 'обед_NOUN', 'на_ADP', 'учеба_NOUN', 'как_SCONJ', 'у_ADP', 'ты_PRON', 'с_ADP', 'семья_NOUN', '**вы:**_NOUN', 'ребенок_PROPN ', 'быстро_ADV', 'расти_VERB']","['я_PRON', 'помнить_VERB', 'как_SCONJ', 'у_ADP', 'я_PRON', 'быть_AUX', 'тяжело_ADJ', 'в_ADP', 'он_PRON', 'возраст_NOUN']",ai
22,"['что_PRON', 'рисовать_VERB', 'я_PRON', 'вот_PART', 'что_PRON', 'ты_PRON', 'сказать_VERB', 'хотеть_VERB', 'когда_SCONJ', 'работать_VERB', 'начать_VERB', 'не_PART', 'экономь_NOUN', 'на_ADP', 'машина_NOUN', 'брать_VERB', 'надежный_ADJ', 'потому_ADV', 'что_SCONJ', 'надешевовать_ADJ', 'больше_ADV', 'уйти_VERB', 'деньги_NOUN', 'на_ADP', 'ремонт_NOUN', 'рисую_SYM', '😅_SYM', '**вы:_NOUN', 'это_PRON', 'понятный_ADJ', 'что_SCONJ', 'не_PART', 'на_ADP', 'что_PRON', 'не_PART', 'надо_ADV', 'экономить_VERB', 'ну_PART', 'фрилансером_NOUN', 'же_PART', 'работать_VERB']","['а_CCONJ', 'что_PRON', 'ты_PRON', 'делать_VERB', 'сегодня_ADV']",ai
23,"['а_CCONJ', 'вы_PRON', '**собеседник:_NOUN', 'кто_PRON', 'работать_VERB', '**ва_NOUN', 'инженер_NOUN']","['о_INTJ', 'коллега_NOUN', 'я_PRON', 'инженер_NOUN', 'наладчик_NOUN', 'коммуникационный_ADJ', 'система_NOUN']",people
24,"['**вы:**_NOUN', 'тоже_PART', 'думать_VERB', 'на_ADP', 'юрфак_NOUN', 'в_ADP', 'итог_NOUN', 'подаваться_VERB', 'в_ADP', 'программистые_NOUN', 'бросать_VERB', 'пока_SCONJ', 'нет_PART', 'учусь😄_NOUN', 'но_CCONJ', 'скоро_ADV', 'быть_AUX', 'гонять_VERB', 'а_CCONJ', 'сколько_ADV', 'ты_PRON', 'лета_NOUN', '38_NUM', 'уже_ADV', 'женатый_ADJ']","['нет_VERB', 'ещё_ADV', 'а_CCONJ', 'ты_PRON', 'предложение_NOUN', 'решать_VERB', 'делать_VERB']",people
25,"['а_CCONJ', 'что_PRON', 'ты_PRON', 'заниматься_VERB', 'в_ADP', 'свободный_ADJ', 'время_NOUN', 'пытаться_VERB', 'налаживать_VERB', 'личный_ADJ', 'жизнь_NOUN', 'заводить_VERB', 'семья_NOUN', 'родитьдвойняшка_NOUN', 'а_CCONJ', 'как_ADV', 'ты_PRON', 'звать_VERB']","['алина_NOUN', 'а_CCONJ', 'у_ADP', 'ты_PRON', 'какой_DET', 'план_NOUN', 'на_ADP', 'будущее_NOUN']",people
26,"['**вы:**_X', 'челябинск_PROPN ', 'а_CCONJ', 'ты_PRON', 'любить_PART', 'ходить_VERB', 'в_ADP', 'театр_NOUN', 'ты_PRON', 'еще_ADV', 'здесь_ADV', 'здесь_ADV', 'в_ADP', 'театр_NOUN', 'не_PART', 'быловек_ADJ', '**вы:_NOUN', 'класс👍_NOUN']","['а_CCONJ', 'как_ADV', 'насчет_ADP', 'кино_NOUN']",people
27,"['я_PRON', 'тоже_PART', 'раньше_ADV', 'думать_VERB', 'что_SCONJ', 'возраст_NOUN', 'этот_PRON', 'черта_NOUN', 'пока_SCONJ', 'непобывать_VERB', 'на_ADP', 'свадьба_NOUN', 'родитель_NOUN', 'это_PRON', 'быть_AUX', 'что_PRON', 'то_NOUN', 'хохо_INTJ', 'а_CCONJ', 'то_PRON', 'на_ADP', 'свадьба_NOUN', 'то_SCONJ', 'как_ADV', 'не_PART', 'покутить_VERB', 'люська_PROPN ', 'только_PART', 'жена_NOUN', 'мой_DET', 'ругаться_VERB', 'все_PRON', 'уж_PART', 'больно_ADV', 'злиться_VERB', 'когда_SCONJ', 'выпить_NOUN', 'лишний_ADJ', 'да_PART', 'особенно_ADV', 'когда_SCONJ', 'весь_DET', 'родственник_NOUN', 'впервые_ADV', 'вместесобраться_VERB', 'я_PRON', 'жить_VERB', 'в_ADP', 'индия_PROPN ', 'последний_ADJ', 'время_NOUN', 'и_CCONJ', 'быть_AUX', 'радтакий_ADJ', 'повод_NOUN', 'навещать_VERB', 'родитель_NOUN']","['у_ADP', 'ты_PRON', 'быть_VERB', 'семья_NOUN']",people
28,"['ну_PART', 'награда_NOUN', 'быть_VERB', '🤗_SYM', 'а_CCONJ', 'ты_PRON', 'работать_VERB', 'где_ADV', 'нибудь_ADV', 'интересный_ADJ', 'в_ADP', 'ты_PRON', 'работво_NOUN', 'пока_ADV', 'что_SCONJ', 'спорт_NOUN', 'мой_DET', 'работа_NOUN']","['да_PART', 'спорт_NOUN', 'это_PRON', 'мой_DET', 'страсть_NOUN', 'и_CCONJ', 'работа_NOUN', 'в_ADP', 'один_NUM', 'лицо_NOUN']",ai
29,"['больше_ADV', 'любить_VERB', 'заниматься_VERB', 'спорт_NOUN', 'когда_SCONJ', 'быть_VERB', 'свободноевремя_NOUN', 'и_CCONJ', 'любить_VERB', 'смотреть_VERB', 'телевизор_NOUN', 'лето_NOUN', 'хотеть_VERB', 'поехатьн_NOUN', 'море_VERB', 'море_PROPN ', 'это_PRON', 'очень_ADV', 'хороший_ADJ', 'какой_DET', 'вид_NOUN', 'спорт_NOUN', 'заниматься_VERB', 'плавание_PROPN ', 'катание_NOUN', 'на_ADP', 'лыжа_NOUN', 'бег_NOUN', 'по_ADP', 'утро_NOUN', 'профессиональнон_PROPN ', 'заниматься_VERB']","['но_CCONJ', 'я_PRON', 'любить_VERB', 'просто_PART', 'гулять_VERB', 'на_ADP', 'природа_NOUN', 'и_CCONJ', 'наслаждаться_VERB', 'красота_NOUN', 'природа_NOUN', 'а_CCONJ', 'еще_ADV', 'я_PRON']",ai
30,"['ну_PART', 'если_SCONJ', 'шаурма_PROPN ', 'это_PRON', 'корейский_ADJ', 'кухня_NOUN', 'то_SCONJ', 'у_ADP', 'мы_PRON', 'многообть_ADJ', 'я_PRON', 'любить_VERB', 'шаурма_NOUN', 'ахах_NOUN', 'шаурма_PROPN ', 'не_PART', 'совсем_ADV', 'хотеть_VERB', 'покупать_VERB', 'виаругой_NOUN', 'виар_PROPN ', 'очко_NOUN']","['хм_ADJ', 'да_PART', 'я_PRON', 'хотеть_VERB', 'покупать_VERB', 'очки_NOUN', 'для_ADP', 'чтение_NOUN']",ai
31,"['слушать_VERB', 'бузов_PROPN ', 'я_PRON', 'домохозяйка_NOUN', 'любить_VERB', 'котик_NOUN', 'любить_VERB', 'играть_VERB', 'в_ADP', 'карта_NOUN', 'и_CCONJ', 'показывать_VERB', 'фокус_NOUN', 'еще_ADV', 'любить_VERB', 'жизнь_NOUN', 'у_ADP', 'ты_PRON', 'быть_VERB', 'мечта_NOUN', 'я_PRON', 'искать_VERB', 'общение_NOUN', 'так_ADV', 'как_SCONJ', 'я_PRON', 'в_ADP', 'развод_NOUN', 'да_PART', 'хотеть_VERB', 'находить_VERB', 'муж_NOUN']","['поверить_NOUN', 'искать_VERB', 'муж_NOUN', 'не_PART', 'больший_ADJ', 'необходимость_NOUN', 'разве_SCONJ', 'после_ADP', 'развод_NOUN', 'не_PART', 'охота_ADV', 'пожить_VERB', 'для_ADP', 'себя_PRON']",people
32,"['работа_NOUN', 'еще_ADV', 'это_PRON', 'надо_ADV', 'после_ADP', 'отпуск_NOUN', 'в_ADP', 'город_NOUN', 'ехать_VERB', 'дворник_NOUN', 'я_PRON', 'или_CCONJ', 'к_ADP', 'психолог_NOUN', 'сходить_NOUN', 'я_PRON', 'ходить_VERB', 'зеркало_NOUN', 'бояться_VERB', 'до_ADP', 'паника_NOUN', 'помогать_VERB', 'очень_ADV', 'тяжелый_ADV', 'конечно_ADV', 'с_ADP', 'такой_DET', 'работа_NOUN', 'и_CCONJ', 'платить_VERB', 'небосьгроший_NOUN', 'ребенок_PROPN ', 'взрослый_ADJ', 'все_VERB', 'надеяться_VERB', 'у_ADP', 'они_PRON', 'отрада_NOUN', 'быть_VERB', 'да_PART', 'да_PART', 'все_PRON', 'надоедать_VERB']","['не_PART', 'мочь_VERB', 'больше_ADV', 'терпеть_VERB', 'уставать_VERB', 'уже_ADV', 'от_ADP', 'этот_DET', 'работа_NOUN', 'не_PART', 'хотеть_VERB']",ai
33,"['ну_PART', 'и_PART', 'зря_NOUN', 'я_PRON', 'стиральный_ADJ', 'машина_NOUN', 'люблю_NOUN', '**вы:_NOUN', 'животное_ADJ', 'любить_PART']","['нет_PART', 'я_PRON', 'больше_ADV', 'любить_VERB', 'машина_NOUN', 'у_ADP', 'ты_PRON', 'машина_NOUN', 'быть_VERB']",people
34,"['садоводство_NOUN', 'еще_ADV', 'увлекаться_VERB', '**собеседник:_NOUN', 'ой_NOUN', 'я_PRON', 'тоже_PART', 'очень_ADV', 'любить_VERB', 'цветы_NOUN', 'гулять_VERB', 'по_ADP', 'город_NOUN']","['у_ADP', 'мы_PRON', 'в_ADP', 'город_NOUN', 'много_ADV', 'красивый_ADJ', 'парк_NOUN', 'и_CCONJ', 'сквер_NOUN', 'а_CCONJ', 'у_ADP', 'вы_PRON', 'быть_VERB']",ai
35,"['прикольно_ADV', 'у_ADP', 'ты_PRON', 'быть_VERB', 'мечта_NOUN', 'но_CCONJ', 'пока_ADV', 'не_PART', 'мочь_VERB', 'заводить_VERB', 'она_PRON', 'себя_PRON', 'хоть_ADV', 'и_PART', 'очень_ADV', 'мечтаю_NOUN', '**ва_NOUN', 'у_ADP', 'ты_PRON', 'быть_VERB', 'мечта_NOUN']","['конечно_ADV', 'у_ADP', 'я_PRON', 'быть_VERB', 'мечта_NOUN', 'я_PRON', 'мечтать_VERB', 'о_ADP', 'мир_NOUN', 'без_ADP', 'насилие_NOUN', 'и_CCONJ', 'конфликт_NOUN', 'где_ADV', 'каждый_ADJ', 'мочь_VERB', 'быть_AUX', 'счастливый_ADJ', 'и_CCONJ', 'свободный_ADJ', 'а_CCONJ', 'еще_ADV', 'мечтать_VERB', 'путешествовать_VERB', 'по_ADP', 'весь_DET', 'мир_NOUN', 'и_CCONJ', 'пробовать_VERB', 'весь_DET', 'кухня_NOUN', 'разный_ADJ', 'страна_NOUN']",ai
36,"['я_PRON', 'ходить_VERB', 'в_ADP', 'школа_NOUN', 'еще_ADV', 'любить_VERB', 'математика_NOUN', 'а_CCONJ', 'ты_PRON', 'что_PRON', 'занимать_VERB', 'я_PRON', 'вот_PART', 'в_ADP', 'пятёрочка_NOUN', 'менеджер_NOUN', 'работать_VERB', 'коллекционируюваз_NOUN', 'а_CCONJ', 'я_PRON', 'сейчас_ADV', 'читать_VERB', 'гарри::поттер_PROPN ']","['а_CCONJ', 'хобби_NOUN', 'у_ADP', 'ты_PRON', 'быть_VERB']",people
37,"['на_ADP', 'третий_ADJ', 'уже_VERB', 'ты_PRON', 'как_SCONJ', 'звать_VERB', 'рассказывать_VERB', 'о_ADP', 'себе_NOUN', '**собеседник:_NOUN', 'твой_DET', 'студенческий_ADJ', 'жизнь_NOUN', 'куда_ADV', 'интересный_ADJ', 'чем_SCONJ', 'моя.ть_NOUN', 'домохозяйка_NOUN', 'сидеть_VERB', 'дома_ADV', 'воспитывать_VERB', 'два_NUM', 'ребенок_NOUN', 'ат_VERB', 'небось_ADV', 'каждый_ADJ', 'день_NOUN', 'развлекаться_VERB', 'я_PRON', 'марина_PROPN ', 'звать_VERB', 'кстати_ADV', 'быть_VERB', 'девушка_NOUN', 'да_PART', 'развлечений_NOUN', 'это_DET', 'мой_DET', 'второе_ADJ', 'имя_NOUN', '😂_SYM', 'по_ADP', 'это_DET', 'и_CCONJ', 'друзеймный_ADJ', 'любить_VERB', 'общаться_VERB', 'девушка_PROPN ', 'пока_ADV', 'нет_VERB', 'у_ADP', 'я_PRON', 'слишком_ADV', 'активный_ADJ', 'образ_NOUN', 'жизнь_NOUN', 'для_ADP', 'серьезныхотношение_NOUN']","['один_NUM', 'другой_ADJ', 'не_PART', 'мешать_VERB']",people
